Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.456652,0.553247,0.437417,0.553247,"25,774","4,592,010"
"Dec 15, 2017",0.461332,0.471273,0.363078,0.419680,"51,680","4,639,070"
"Dec 14, 2017",0.413345,0.480062,0.386905,0.460792,"23,031","4,156,520"
"Dec 13, 2017",0.408675,0.497597,0.325103,0.414011,"37,594","4,109,570"
"Dec 12, 2017",0.430094,0.518480,0.336334,0.408393,"30,247","4,324,940"
"Dec 11, 2017",0.363596,0.432434,0.284832,0.432434,"36,738","3,656,260"
"Dec 10, 2017",0.327954,0.387436,0.265447,0.363620,"27,653","3,297,850"
"Dec 09, 2017",0.379210,0.382887,0.300820,0.310568,"5,982","3,813,270"
"Dec 08, 2017",0.377350,0.427825,0.249361,0.379386,"8,105","3,794,560"
"Dec 07, 2017",0.360417,0.395781,0.255374,0.376656,"8,430","3,624,290"
"Dec 06, 2017",0.336876,0.391681,0.331243,0.361343,"4,680","3,387,570"
"Dec 05, 2017",0.382496,0.399614,0.313236,0.337542,"23,032","3,846,310"
"Dec 04, 2017",0.346741,0.389555,0.320579,0.382023,"28,442","3,486,770"
"Dec 03, 2017",0.351673,0.369128,0.327127,0.343134,"15,193","3,536,360"
"Dec 02, 2017",0.400805,0.404160,0.335891,0.351480,"8,834","4,030,420"
"Dec 01, 2017",0.345301,0.414146,0.298612,0.401009,"35,216","3,472,280"
"Nov 30, 2017",0.346132,0.381626,0.302958,0.346200,"4,123","3,480,640"
"Nov 29, 2017",0.395450,0.435677,0.340803,0.341643,"28,499","3,976,580"
"Nov 28, 2017",0.343789,0.435050,0.272386,0.395319,"23,011","3,457,080"
"Nov 27, 2017",0.426288,0.453087,0.308885,0.343751,"15,713","4,286,680"
"Nov 26, 2017",0.375450,0.428604,0.272909,0.426327,"24,648","3,775,460"
"Nov 25, 2017",0.364388,0.469294,0.327221,0.377131,"33,664","3,664,220"
"Nov 24, 2017",0.419307,0.448430,0.341542,0.363848,"19,880","4,216,480"
"Nov 23, 2017",0.405827,0.495385,0.342672,0.420501,"47,521","4,080,920"
"Nov 22, 2017",0.363210,0.623803,0.362674,0.405271,"25,045","3,652,370"
"Nov 21, 2017",0.340388,0.414011,0.338283,0.362619,"51,825","3,422,880"
"Nov 20, 2017",0.321553,0.381260,0.282229,0.340685,"29,855","3,233,470"
"Nov 19, 2017",0.323112,0.380518,0.262325,0.321830,"51,447","3,249,150"
"Nov 18, 2017",0.304417,0.324968,0.248939,0.323881,"41,957","3,061,160"
"Nov 17, 2017",0.312580,0.323230,0.250374,0.304577,"63,051","3,143,250"
"Nov 16, 2017",0.276431,0.318157,0.234077,0.312954,"33,140","2,779,740"
"Nov 15, 2017",0.282622,0.324699,0.266027,0.275830,"48,938","2,842,000"
"Nov 14, 2017",0.320512,0.362121,0.279663,0.282455,"72,284","3,223,010"
"Nov 13, 2017",0.256731,0.346033,0.256731,0.320259,"66,321","2,581,640"
"Nov 12, 2017",0.300689,0.347466,0.224903,0.256335,"66,185","3,023,670"
"Nov 11, 2017",0.278675,0.315195,0.253777,0.300767,"47,463","2,802,310"
"Nov 10, 2017",0.316864,0.339970,0.244259,0.279534,"72,702","3,186,330"
"Nov 09, 2017",0.288402,0.377121,0.238608,0.316692,"18,211","2,900,120"
"Nov 08, 2017",0.265748,0.381250,0.233726,0.289601,"61,084","2,672,320"
"Nov 07, 2017",0.276536,0.441179,0.264491,0.266098,"41,852","2,780,790"
"Nov 06, 2017",0.265265,0.368111,0.251394,0.276141,"17,306","2,667,460"
"Nov 05, 2017",0.351869,0.428316,0.249672,0.264849,"25,232","3,538,330"
"Nov 04, 2017",0.359433,0.378633,0.272046,0.353583,"28,867","3,614,390"
"Nov 03, 2017",0.294012,0.465749,0.252009,0.359418,"18,625","2,956,530"
"Nov 02, 2017",0.372373,0.435112,0.253782,0.293417,"52,481","3,744,520"
"Nov 01, 2017",0.352045,0.395988,0.245361,0.336748,"40,702","3,540,100"
"Oct 31, 2017",0.333623,0.373650,0.333543,0.352576,"21,781","3,354,850"
"Oct 30, 2017",0.370985,0.427807,0.329655,0.333439,"8,708","3,730,560"
"Oct 29, 2017",0.542951,0.567431,0.267974,0.371986,"20,333","5,459,820"
"Oct 28, 2017",0.387363,0.543651,0.314813,0.543230,"13,494","3,895,250"
"Oct 27, 2017",0.631151,0.639837,0.383164,0.386888,"18,060","6,346,740"
"Oct 26, 2017",0.477712,0.969921,0.317181,0.631096,"15,609","4,803,780"
"Oct 25, 2017",0.387856,0.582917,0.186956,0.478480,"17,445","3,900,210"
"Oct 24, 2017",0.487229,0.730766,0.387122,0.387536,"14,662","4,899,480"
"Oct 23, 2017",0.465690,0.625630,0.361495,0.487844,"14,964","4,682,890"
"Oct 22, 2017",0.409752,0.567184,0.372710,0.466000,"10,012","4,120,390"
"Oct 21, 2017",0.400810,0.414546,0.371305,0.409765,"11,174","4,030,480"
"Oct 20, 2017",0.397298,0.426720,0.395380,0.401301,"6,570","3,995,160"
"Oct 19, 2017",0.639175,0.642911,0.355834,0.397582,"25,658","6,427,430"
"Oct 18, 2017",0.458198,0.641474,0.388963,0.640651,"21,010","4,607,550"
"Oct 17, 2017",0.446237,0.487916,0.397927,0.458734,"12,310","4,487,280"
"Oct 16, 2017",0.515412,0.712003,0.414343,0.445695,"26,287","5,182,890"
"Oct 15, 2017",0.523994,0.620814,0.452033,0.514059,"22,825","5,269,190"
"Oct 14, 2017",0.639447,0.745340,0.521924,0.522492,"26,651","6,430,160"
"Oct 13, 2017",0.621543,0.730202,0.453266,0.638829,"22,347","6,250,130"
"Oct 12, 2017",0.784074,0.784248,0.580306,0.622519,"30,761","7,884,510"
"Oct 11, 2017",0.865629,2.54,0.676626,0.783937,"20,078","8,704,610"
"Oct 10, 2017",0.831414,0.893804,0.654144,0.865666,"20,823","8,360,540"
"Oct 09, 2017",0.997322,1.53,0.631775,0.829357,"28,151","10,028,900"
"Oct 08, 2017",0.891969,1.01,0.891969,1.01,"13,785","8,969,470"
